id,value
Application#builds [0⋯n]#report#business_unit, <class 'str'>
Application#builds [0⋯n]#report#customfields, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#customfields#customfield [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#customfields#customfield [0⋯n]#name, <class 'str'>
Application#builds [0⋯n]#report#customfields#customfield [0⋯n]#value, <class 'str'>
Application#builds [0⋯n]#report#data, <class 'str'>
Application#builds [0⋯n]#report#first_build_submitted_date, <class 'datetime.date'>
Application#builds [0⋯n]#report#flaw_status, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#flaw_status#cannot_reproduce, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#fixed, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#new, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#not_mitigated, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#open, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#reopen, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#sev_1_change, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#sev_2_change, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#sev_3_change, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#sev_4_change, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#sev_5_change, <class 'int'>
Application#builds [0⋯n]#report#flaw_status#total, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n], <class 'generator'>
Application#builds [0⋯n]#report#flaws [0⋯n]#affects_policy_compliance, <class 'bool'>
Application#builds [0⋯n]#report#flaws [0⋯n]#categoryid, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#categoryname, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#cia_impact, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#count, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#cweid, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#date_first_occurrence, <class 'datetime.date'>
Application#builds [0⋯n]#report#flaws [0⋯n]#description, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#exploitLevel, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#functionprototype, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#functionrelativelocation, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#grace_period_expires, <class 'datetime.date'>
Application#builds [0⋯n]#report#flaws [0⋯n]#issueid, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#line, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#mitigation_status, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#mitigation_status_desc, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#module, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#note, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#pcirelated, <class 'bool'>
Application#builds [0⋯n]#report#flaws [0⋯n]#remediation_status, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#remediationeffort, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#scope, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#severity, <class 'int'>
Application#builds [0⋯n]#report#flaws [0⋯n]#sourcefile, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#sourcefilepath, <class 'str'>
Application#builds [0⋯n]#report#flaws [0⋯n]#type, <class 'str'>
Application#builds [0⋯n]#report#flaws_not_mitigated, <class 'int'>
Application#builds [0⋯n]#report#generation_date, <class 'datetime.date'>
Application#builds [0⋯n]#report#grace_period_expired, <class 'bool'>
Application#builds [0⋯n]#report#is_latest_build, <class 'bool'>
Application#builds [0⋯n]#report#last_update_time, <class 'datetime.date'>
Application#builds [0⋯n]#report#legacy_scan_engine, <class 'bool'>
Application#builds [0⋯n]#report#life_cycle_stage, <class 'str'>
Application#builds [0⋯n]#report#planned_deployment_date, <class 'str'>
Application#builds [0⋯n]#report#platform, <class 'str'>
Application#builds [0⋯n]#report#policy_compliance_status, <class 'str'>
Application#builds [0⋯n]#report#policy_name, <class 'str'>
Application#builds [0⋯n]#report#policy_rules_status, <class 'str'>
Application#builds [0⋯n]#report#policy_version, <class 'int'>
Application#builds [0⋯n]#report#report_format_version, <class 'float'>
Application#builds [0⋯n]#report#sandbox_id, <class 'int'>
Application#builds [0⋯n]#report#scan_overdue, <class 'bool'>
Application#builds [0⋯n]#report#severity [0⋯n], <class 'list'>
Application#builds [0⋯n]#report#severity [0⋯n]#category, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#categoryid, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#categoryname, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#certc, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#certcpp, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#certjava, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#cweid, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#cwename, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#description, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#description#text, <class 'veracode.SDK.core.Struct'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#description#text#text, <class 'str'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#owasp, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#owasp2013, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#pcirelated, <class 'bool'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#sans, <class 'int'>
Application#builds [0⋯n]#report#severity [0⋯n]#category#cwe#staticflaws, <class 'veracode.SDK.core.Struct'>
